[2026-05-29T12:13:51.635+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-05-29T12:13:51.916+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-04-15T21:12:00+00:00 [queued]>
[2026-05-29T12:13:51.966+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-04-15T21:12:00+00:00 [queued]>
[2026-05-29T12:13:51.968+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2026-05-29T12:13:52.023+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-04-15 21:12:00+00:00
[2026-05-29T12:13:52.457+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=110) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-05-29T12:13:52.388+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-04-15T21:12:00+00:00', '--job-id', '79', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpa0z0xcpq']
[2026-05-29T12:13:52.465+0000] {standard_task_runner.py:91} INFO - Job 79: Subtask download_minio
[2026-05-29T12:13:52.466+0000] {standard_task_runner.py:64} INFO - Started process 123 to run task
[2026-05-29T12:13:53.216+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-04-15T21:12:00+00:00 [running]> on host 0a790aba60c9
[2026-05-29T12:13:57.559+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-04-15T21:12:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-04-15T21:12:00+00:00'
[2026-05-29T12:13:57.578+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-05-29T12:14:15.657+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1776277487.json -> /tmp/minio_downloads/1776277487.json
[2026-05-29T12:14:15.820+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1776277502.json -> /tmp/minio_downloads/1776277502.json
